GRADE,SUBJECT,SEMESTER,TEKS
4,Math,1 st Nine Weeks – (August 14 th – October 11 th ),"4.2, 4.2A, 4.2B, 4.2C, 4.2D, 4.2E, 4.2F, 4.2G, 4.2H, 4.4, 4.4A, 4.4G, 4.5, 4.8C, 4.4, 4.4B, 4.4D, 4.4G, 4.8C"
4,Math,2 nd Nine Weeks – (October 12 th – December 15 th),"4.4D, 4.4H, 4.5, 4.8C, 4.4C, 4.4D, 4.4G, 4.5A, 4.4C, 4.4D, 4.4H, 4.5A, 4.4E, 4.4F, 4.4G, 4.4H, 4.5, 4.4E, 4.4F, 4.4G"
4,Math,3 rd Nine Weeks – (January 3 rd – March 8 th ),"4.5, 4.5B, 4.3A, 4.3C, 4.3G, 4.3D, 4.3E, 4.3B, 4.3F, 4.8A, 4.8B, 4.8C"
4,Math,4 th Nine Weeks – (March 19 th – May 23 rd ),"4.5C, 4.5D, 4.8C, 4.6A, 4.7, 4.7C, 4.7D, 4.7E. 4.6B, 4.6, 4.6D, 4.9A, 4.9B, 4.10A, 4.10B, 4.10C, 4.10D, 4.10E"
